path,first,first_per,second,second_per,third,third_per,TF,top3_TF
images/addict/1.jpg,addict,1.0,two buttons,8.240955e-10,dooly,4.794198e-10,True,True
images/addict/2.jpg,addict,0.9997365,wojak,0.00024457704,SMEscat,8.764605e-06,True,True
images/addict/3.jpg,addict,0.99999666,SMEscat,3.011187e-06,wojak,2.1829905e-07,True,True
images/addict/4.jpg,addict,0.98862445,SMEscat,0.010595777,distracted boyfriend,0.0002988452,True,True
images/addict/5.jpg,addict,0.9999999,SMEscat,4.2172445e-08,study,3.0632894e-08,True,True
images/addict/6.jpg,addict,0.9999964,wojak,2.8375641e-06,laughing wolf,4.661164e-07,True,True
images/addict/7.jpg,addict,1.0,wojak,1.2748519e-08,SMEscat,6.2827623e-09,True,True
images/addict/8.jpg,addict,0.9328775,wojak,0.042035826,fuck yea,0.0149999205,True,True
images/addict/9.jpg,addict,0.99923193,wojak,0.00053982163,fuck yea,9.434651e-05,True,True
images/addict/10.jpg,addict,1.0,wojak,1.3638767e-08,SMEscat,2.0744488e-09,True,True
images/addict/11.jpg,addict,0.99939775,study,0.0003921027,gamer,0.00015980293,True,True
images/addict/12.jpg,addict,0.9997081,SMEscat,0.00020989188,two buttons,5.5760163e-05,True,True
images/addict/13.jpg,addict,0.9999927,wojak,6.109379e-06,luffy,2.7462474e-07,True,True
images/addict/14.jpg,addict,0.99994063,dont say,2.490877e-05,fuck yea,1.3806121e-05,True,True
images/addict/15.jpg,addict,0.99916506,SMEscat,0.00064946327,distracted boyfriend,7.276237e-05,True,True
images/addict/16.jpg,addict,0.9999757,SMEscat,9.85477e-06,wojak,7.929374e-06,True,True
images/addict/17.jpg,addict,0.993494,wojak,0.0059769624,study,0.00046302966,True,True
images/addict/18.jpg,addict,0.9423477,Bongo Cat,0.043768004,SMEscat,0.008697779,True,True
images/addict/19.jpg,addict,0.99999905,SMEscat,7.8433266e-07,wojak,1.551125e-07,True,True
images/addict/20.jpg,addict,0.99931073,SMEscat,0.0006516004,wojak,2.1784599e-05,True,True
images/addict/21.jpg,addict,1.0,wojak,1.9306741e-08,dooly,2.7680156e-09,True,True
images/addict/22.jpg,addict,0.99721116,thour,0.0016009241,luffy,0.0011082886,True,True
images/addict/23.jpg,addict,0.99999905,wojak,5.919302e-07,study,2.3667782e-07,True,True
images/addict/24.jpg,wojak,0.32955784,meet,0.19339816,luffy,0.13311894,False,False
images/addict/26.jpg,addict,0.9009664,SMEscat,0.041539352,vsdoge,0.027855167,True,True
images/addict/27.jpg,addict,0.9999988,two buttons,8.8802886e-07,frog,2.0705468e-07,True,True
images/addict/28.jpg,addict,0.99998295,dooly,1.1756396e-05,wojak,1.6705071e-06,True,True
images/addict/31.jpg,addict,1.0,wojak,5.590393e-09,expert,4.5575768e-10,True,True
images/addict/32.jpg,addict,1.0,SMEscat,2.7846017e-08,mococo,4.841479e-09,True,True
images/addict/36.jpg,addict,0.99999225,distracted boyfriend,7.05933e-06,wojak,6.235118e-07,True,True
images/addict/41.jpg,addict,0.9997048,distracted boyfriend,0.00021642626,SMEscat,4.8532318e-05,True,True
images/addict/45.jpg,addict,0.99999917,luffy,4.6656953e-07,SMEscat,2.4940584e-07,True,True
images/addict/46.jpg,addict,0.99999964,SMEscat,1.222238e-07,wojak,1.0610362e-07,True,True
images/addict/48.jpg,addict,0.9999733,SMEscat,2.129736e-05,wojak,2.7180922e-06,True,True
images/addict/49.jpg,addict,0.9999999,dooly,3.9380488e-08,SMEscat,3.931887e-08,True,True
images/addict/52.jpg,addict,0.99992466,SMEscat,6.942576e-05,wojak,5.6100075e-06,True,True
images/addict/54.jpg,addict,0.9939646,SMEscat,0.0027598634,Bongo Cat,0.0022367786,True,True
images/addict/55.jpg,addict,0.9996147,luffy,0.00031542903,mococo,3.8786056e-05,True,True
images/addict/58.jpg,addict,0.99948287,dooly,0.00034370608,luffy,0.00010368137,True,True
images/addict/59.jpg,addict,0.9810043,wojak,0.0067282724,expert,0.005379801,True,True
images/addict/61.jpg,addict,0.99597037,study,0.0033056855,gamer,0.00034655098,True,True
images/addict/62.jpg,addict,0.99979454,SMEscat,8.7781526e-05,wojak,7.9341444e-05,True,True
images/addict/63.jpg,addict,0.9983423,distracted boyfriend,0.0010019223,SMEscat,0.0003094568,True,True
images/addict/64.jpg,addict,0.9999858,wojak,6.5567865e-06,SMEscat,4.0907894e-06,True,True
images/addict/65.jpg,addict,1.0,SMEscat,9.8761275e-09,two buttons,7.063671e-09,True,True
images/addict/68.jpg,addict,0.99964654,study,0.00024872858,distracted boyfriend,5.074728e-05,True,True
images/addict/70.jpg,addict,0.9999989,wojak,6.010321e-07,SMEscat,1.735154e-07,True,True
images/addict/75.jpg,addict,0.9988368,fuck yea,0.0009222932,study,0.0001878312,True,True
images/addict/77.jpg,addict,0.99999833,laughing wolf,1.1394162e-06,luffy,1.4674936e-07,True,True
images/addict/81.jpg,addict,0.985919,singha,0.00634255,luffy,0.0056040115,True,True
images/addict/82.jpg,addict,0.9983016,dooly,0.0007586939,thour,0.00061770534,True,True
images/addict/88.jpg,addict,0.9999924,dont say,3.869386e-06,wojak,2.98932e-06,True,True
images/addict/89.jpg,addict,0.9999988,laughing wolf,6.813658e-07,singha,1.4037424e-07,True,True
images/addict/90.jpg,addict,0.9998951,dont say,8.8894856e-05,wojak,1.2209557e-05,True,True
images/addict/93.jpg,addict,0.99406,wojak,0.0015849228,vsdoge,0.0010766749,True,True
images/addict/94.jpg,addict,0.99999034,SMEscat,8.654552e-06,wojak,5.2987906e-07,True,True
images/addict/101.jpg,addict,0.9999902,SMEscat,6.7437204e-06,nyan cat,8.954275e-07,True,True
images/addict/102.jpg,addict,1.0,SMEscat,2.6484333e-08,wojak,2.3185725e-08,True,True
images/addict/107.jpg,addict,0.82590806,Bongo Cat,0.06276433,laughing wolf,0.046970077,True,True
images/addict/108.jpg,addict,0.99093527,SMEscat,0.0023632173,study,0.002047995,True,True
images/addict/109.jpg,addict,0.999997,SMEscat,3.0072795e-06,wojak,3.9432162e-08,True,True
images/addict/110.jpg,addict,0.99819463,SMEscat,0.0003785411,mococo,0.0003395349,True,True
images/addict/111.jpg,addict,0.97584313,wojak,0.011414416,SMEscat,0.0041244836,True,True
