file,ssi,hash,cor,chi,inter,bha
0.jpg,1.0,0.0,1.0,0.0,5.26872397121042,0.0
1.jpg,,,,,,
2.jpg,0.3382177326835377,26.0,0.06445045287059302,47.42191600045365,0.761498470827064,0.6995092522839891
3.jpg,0.47072369963755484,24.0,0.04972581586849864,50.186187234739165,0.24583651975626708,0.8179538745843036
4.jpg,0.3740552852669247,24.0,0.06928411088054574,98.50314296555715,0.8834401342101046,0.6752014253884132
5.jpg,0.37600737242872156,22.0,0.2821232364927849,55.91851871606001,2.426319446763955,0.5444978847917448
6.jpg,0.3681330025217693,24.0,0.05089594632215678,161.30994218499836,0.866667389524082,0.7176803768177702
7.jpg,0.3147416056863443,36.0,0.004312183773482769,451.4479818195082,0.41701892588753253,0.892446373210414
8.jpg,,,,,,
9.jpg,0.42947306193612733,24.0,0.13111618491547575,24.325224278534353,1.0945367842214182,0.5713988398833327
10.jpg,0.20040544840425467,30.0,0.03488757209058874,324.19548207465147,0.14630260728881694,0.9401560523211624
11.jpg,0.32520103671820283,24.0,0.03518039689765203,1974.7391002205288,0.7948264933656901,0.8366424737785066
12.jpg,0.21761191377386388,32.0,0.062274807717989884,214.09766837263598,0.6033280030242167,0.8008518245411631
13.jpg,0.1322002105796531,36.0,0.07776505577307267,649.654203258781,0.8725316257914528,0.7816351540689905
14.jpg,0.2877307990657932,30.0,-0.003342200853129515,637.1646089696985,0.30751113056612667,0.9220664712065881
15.jpg,0.2735880750624986,26.0,0.00964021234232458,769.9610547400978,0.24322494134685257,0.9267548956387375
16.jpg,0.31614011618855936,14.0,0.060138149114999935,523.8295730158949,1.0516940260713454,0.7438679238405564
17.jpg,0.1378610857819042,36.0,-0.00607823203186852,13622.111258080806,0.8397836068761535,0.9191349473094796
18.jpg,0.4747320848982534,20.0,0.08330147238315125,29.12042137867568,0.6098327972285915,0.7858075247490408
19.jpg,0.4555926466039882,18.0,0.11915308762502526,45.78659142067891,1.601753724120499,0.6358307839712277
20.jpg,0.44709061573025655,14.0,0.40882189881192327,52.780845791844094,2.573959498797194,0.4922867296400927
21.jpg,0.2375904126003598,30.0,0.005413944934711628,7000.256400131702,0.6221256471762899,0.885551493361546
22.jpg,0.2602693776964047,26.0,0.26484488770510806,411.51059983960687,2.600347036786843,0.5569570697461866
23.jpg,0.29914738712312394,30.0,0.13469954227569048,541.3568089762175,1.0849163437378593,0.6983688913900127
24.jpg,,,,,,
25.jpg,0.4808637096587856,8.0,0.7760704730151748,14.893002647781353,4.344512574200053,0.3258623183212889
26.jpg,0.43235310272966504,12.0,0.8067725991937467,13.244126014256969,4.191723093827022,0.348191873043922
27.jpg,0.8321163138150022,8.0,0.40999043612589403,26.80205378409847,2.443552571014152,0.5263055766391536
28.jpg,0.36176218996488774,16.0,0.08220700136809773,5883.178800811621,1.8916400560410693,0.759113377921757
29.jpg,0.8576894903041681,4.0,0.8270788237302434,11.819525900290637,3.3384124432341196,0.3908594879499532
30.jpg,0.5933920285950297,2.0,0.7380814502249897,20.670953594724946,4.328705076579354,0.3311154911794742
